City_ID,Date,Country,City,Cloudiness,Humidity,Maximum_Temperature,Maximum_Temperature_F,Wind_Speed_kmh,Lat,Lng
365,2025-01-07 00:00:00,US,Front Royal,100,91,-2.38,27.716,0.89,38.9182,-78.1944
566,2025-01-07 00:00:00,US,Sullivan,100,77,-2.35,27.77,4.63,36.5168,-82.5332
529,2025-01-07 00:00:00,US,Moapa Valley,0,49,10.93,51.674,0.16,36.5805,-114.4703
583,2025-01-07 00:00:00,US,Greenland,44,61,-6.67,19.994,0.89,43.0362,-70.8328
405,2025-01-07 00:00:00,US,Green River,86,91,-8.38,16.916,1.66,41.5286,-109.4662
444,2025-01-07 00:00:00,US,El Granada,100,93,13.25,55.85,5.14,37.5027,-122.4694
486,2025-01-07 00:00:00,US,Ellsworth,0,66,-8.04,17.528000000000002,2.57,44.5434,-68.4195
400,2025-01-07 00:00:00,US,Fond Du Lac,0,70,-6.68,19.976,2.06,43.775,-88.4388
525,2025-01-07 00:00:00,US,Miami Beach,0,79,22.79,73.02199999999999,4.12,25.7906,-80.1301
187,2025-01-07 00:00:00,US,Haiku-Pauwela,40,73,26.25,79.25,8.23,20.9219,-156.3051
332,2025-01-07 00:00:00,US,Fortuna,100,97,12.74,54.932,3.09,40.5982,-124.1573
148,2025-01-07 00:00:00,US,Fort Bragg,0,86,5.75,42.35,4.12,35.139,-79.006
501,2025-01-07 00:00:00,UZ,Xo'Jaobod,100,76,-1.57,29.174,2.03,40.666,72.5682
489,2025-01-07 00:00:00,VE,Yaritagua,98,94,24.59,76.262,1.26,10.08,-69.1261
383,2025-01-07 00:00:00,VN,Bac Lieu,92,66,26.19,79.142,1.99,9.285,105.7244
263,2025-01-07 00:00:00,VN,Vi Thanh,7,61,24.86,76.748,3.75,9.7835,105.4672
202,2025-01-07 00:00:00,VN,Ca Mau,32,51,28.35,83.03,2.39,9.1769,105.15
190,2025-01-07 00:00:00,YE,Hadibu,76,66,22.63,72.734,4.51,12.65,54.0333
455,2025-01-07 00:00:00,YE,Al Ghayzah,29,67,17.54,63.571999999999996,1.73,16.2079,52.176
